	Hotel	Location	Code	Cost	Score	Rating	Walk.Grade	No. Restaurants	No. Attractions
10959	Red Roof Inn Baltimore Northwest	Baltimore 	MD	$69	3.0	Average	38	30	1
10960	La Quinta Inn & Suites by Wyndham Baltimore Downtown	Baltimore 	MD	$80	3.5	Very good	100	115	25
10961	Embassy Suites by Hilton Baltimore Inner Harbor	Baltimore 	MD	$87	3.5	Very good	100	118	28
10962	Doubletree Inn at The Colonnade	Baltimore 	MD	$134	4.0	Very good	70	96	26
10963	Sheraton Inner Harbor Hotel	Baltimore 	MD	$139	4.0	Very good	93	71	14
10964	Hilton Baltimore Inner Harbor	Baltimore 	MD	$144	4.0	Very good	97	52	11
10965	Residence Inn by Marriott Baltimore at The Johns Hopkins Medical Campus	Baltimore 	MD	$159	4.0	Very good	57	68	5
10966	Candlewood Suites Baltimore - Inner Harbor	Baltimore 	MD	$84	3.5	Very good	100	134	24
10967	Delta Hotels by Marriott Baltimore North	Baltimore 	MD	$125	4.0	Very good	42	11	5
10968	Baltimore Marriott Inner Harbor at Camden Yards	Baltimore 	MD	$169	4.0	Very good	100	73	18
10969	Delta Hotels by Marriott Baltimore Inner Harbor	Baltimore 	MD	$101	4.0	Very good	100	146	19
10970	Comfort Inn & Suites BWI Airport	Baltimore 	MD	$61	3.0	Average	NA	NA	NA
10971	Four Seasons Hotel Baltimore	Baltimore 	MD	$480	4.5	Excellent	100	67	13
10972	INN at 2920	Baltimore 	MD	$160	5.0	Excellent	80	39	9
10973	Crowne Plaza Baltimore - Inner Harbor	Baltimore 	MD	$110	3.5	Very good	NA	NA	NA
10974	Holiday Inn Express Baltimore at the Stadiums	Baltimore 	MD	$94	4.0	Very good	65	27	10
10975	BlancNoir	Baltimore 	MD	$170	5.0	Excellent	100	87	32
10976	Delta Hotels	Baltimore 	MD	$101	5.0	Excellent	100	145	18
10977	Americas Best Value Inn	NA	MD	$74	3.0	Average	NA	NA	NA
10978	Stay Alfred on Charles Street	Baltimore 	MD	$100	2.5	Average	89	40	14
10979	Envy Hotel	Baltimore 	MD	$61	2.5	Average	100	132	25
10980	Baltimore Plaza Inner Harbor	Baltimore 	MD	$59	2.5	Average	100	127	25
10981	Midtown Inn	Baltimore 	MD	$60	3.0	Average	95	55	25
10982	Rodeway Inn	Baltimore 	MD	$57	2.0	Poor	NA	NA	NA
10983	Regal Inn and Suites	Baltimore 	MD	$60	1.5	Poor	NA	NA	NA
10984	Super 8 by Wyndham Baltimore/Essex Area	NA	MD	$59	2.5	Average	NA	NA	NA
10985	Motel 6 Baltimore City	Baltimore 	MD	$62	2.5	Average	90	38	10
10986	Hotel Brexton	Baltimore 	MD	NA	4.5	Excellent	100	69	21
10987	WhyHotel Baltimore Inner Harbor	Baltimore 	MD	NA	4.5	Excellent	100	110	23
10988	Hostelling International - Baltimore	Baltimore 	MD	NA	4.0	Very good	100	96	26
10989	Biddle Street Inn	Baltimore 	MD	NA	5.0	Excellent	100	64	19
10990	The Eden	Baltimore 	MD	NA	4.5	Excellent	100	109	31
10991	Chase At Lexington St	Baltimore 	MD	NA	1.0	Terrible	NA	NA	NA
10992	Bold and Beautiful	Baltimore 	MD	NA	NA	NA	NA	NA	NA
10993	McElderry House Lodgings	Baltimore 	MD	NA	4.5	Excellent	57	80	6
10994	The Richardson House	Baltimore 	MD	NA	5.0	Excellent	57	33	8
10995	BridgeStreet Spinnaker Bay	Baltimore 	MD	NA	4.0	Very good	100	65	11
10996	The Empire House	Baltimore 	MD	NA	5.0	Excellent	100	72	21
10997	Quality Inn & Suites Carlyle	Baltimore 	MD	NA	3.5	Very good	63	90	30
10998	Holland Residentials	Baltimore 	MD	NA	3.5	Very good	100	138	37
10999	TA and Petro Stopping Center	Baltimore 	MD	NA	3.0	Average	NA	NA	NA
11000	Microtel Inn Suite by Wyndham BWI Airport	Baltimore 	MD	NA	4.0	Very good	NA	NA	NA
11001	Inn at Government House	Baltimore 	MD	NA	3.0	Average	97	56	13
11002	Park Plaza Motel	Baltimore 	MD	NA	1.5	Poor	42	25	2
11003	Baltimorean Apartments	NA	MD	NA	2.5	Average	79	95	14
11004	Carlton Motel	Baltimore 	MD	NA	1.0	Terrible	NA	NA	NA
11005	Oakwood At The Munsey	NA	MD	NA	NA	NA	100	134	36
11006	BridgeStreet Henrietta Square	Baltimore 	MD	NA	NA	NA	100	73	16
11007	BridgeStreet Lighthouse Landing	Baltimore 	MD	NA	NA	NA	83	42	5
11008	Revival, a Joie de Vivre Hotel	Baltimore 	MD	NA	NA	NA	NA	NA	NA
11009	Lancaster Square by BridgeStreet	Baltimore 	MD	NA	5.0	Excellent	97	107	46
