	Hotel	Location	State	Cost	Score	Rating	Walk.Grade	No. Restaurants	No. Attractions
171	Home2 Suites by Hilton Orlando South Park	Orlando 	FL	$114	4.5	Excellent	43	17	3
172	Grande Villas Resort	Orlando 	FL	$134	4.5	Excellent	77	101	10
173	Hampton Inn Orlando/Lake Buena Vista	Orlando 	FL	$137	4.5	Excellent	70	103	13
174	Hyatt Place Orlando/Lake Buena Vista	Orlando 	FL	$109	4.5	Excellent	92	59	6
175	Fairfield Inn & Suites by Marriott Orlando Lake Buena Vista	Orlando 	FL	$91	4.5	Excellent	81	100	10
176	Parc Soleil by Hilton Grand Vacations	Orlando 	FL	$347	4.5	Excellent	NA	NA	NA
177	Fairfield Inn & Suites by Marriott Orlando at SeaWorld	Orlando 	FL	$76	4.5	Excellent	85	35	4
178	Hampton Inn Orlando International Drive/Convention Center	Orlando 	FL	$138	4.5	Excellent	88	28	17
179	Holiday Inn Express Hotel & Suites Orlando East - UCF Area	Orlando 	FL	$88	5.0	Excellent	47	65	2
180	DoubleTree by Hilton Hotel Orlando East - UCF Area	Orlando 	FL	$117	4.5	Excellent	52	90	7
181	Holiday Inn Express & Suites Orlando - Lake Buena Vista	Orlando 	FL	$112	5.0	Excellent	NA	NA	NA
182	Home2 Suites by Hilton Orlando/International Drive South	Orlando 	FL	$105	4.5	Excellent	65	44	6
183	Holiday Inn Orlando East - UCF Area	Orlando 	FL	$78	4.5	Excellent	47	48	1
184	Staybridge Suites Orlando At SeaWorld	Orlando 	FL	$108	4.5	Excellent	72	22	4
185	Blue Tree Resort at Lake Buena Vista	Orlando 	FL	$99	4.0	Very good	83	107	10
186	Hampton Inn Orlando Near Universal Blv / International Dr	Orlando 	FL	$175	4.0	Very good	79	29	2
187	Hampton Inn & Suites Orlando International Drive North	NA	FL	$101	4.0	Very good	88	47	14
188	Dorchester Hotel	Miami Beach 	FL	$105	3.5	Very good	98	78	30
189	Riviera Hotel & Suites South Beach	Miami Beach 	FL	$124	4.5	Excellent	100	71	28
190	The Palms Hotel & Spa	Miami Beach 	FL	$199	4.5	Excellent	74	24	5
191	Fontainebleau	Miami Beach 	FL	$319	4.0	Very good	84	21	5
192	1 Hotel South Beach	NA	FL	$309	4.5	Excellent	83	31	11
193	Loews Miami Beach Hotel	Miami Beach 	FL	$399	4.0	Very good	99	147	38
194	Nobu Hotel Miami Beach	Miami Beach 	FL	$246	4.5	Excellent	78	17	4
195	Nautilus by Arlo	Miami Beach 	FL	$235	4.5	Excellent	98	75	27
196	Grand Beach Hotel	NA	FL	$163	4.0	Very good	64	32	5
197	Shelborne South Beach	Miami Beach 	FL	$224	4.5	Excellent	97	73	26
198	Shore Club South Beach	Miami Beach 	FL	$189	4.0	Very good	97	77	27
199	Mondrian South Beach Hotel	Miami Beach 	FL	$231	4.5	Excellent	89	27	2
